t,tf0,ts0
0.0,872.0909,229.02515
27.534,872.09094,229.77795
55.068,872.09094,230.55469
82.602,872.091,231.34692
110.136,872.09106,232.15747
137.67,872.0911,232.98822
165.204,872.0912,233.83972
192.738,872.0912,234.7088
220.272,872.09125,235.60004
247.806,872.09125,236.51282
275.34,872.09125,237.44678
302.874,872.0913,238.40063
330.408,872.0914,239.37927
357.942,872.0914,240.37909
385.476,872.09143,241.40417
413.01,872.09143,242.45233
440.544,872.09143,243.52399
468.078,872.09143,244.62305
495.612,872.0915,245.74255
523.146,872.0915,246.89337
550.68,872.0915,248.06787
578.214,872.0915,249.26819
605.748,872.09155,250.49854
633.282,872.09155,251.75726
660.816,872.09155,253.04211
688.35,872.09155,254.3573
715.884,872.09155,255.7052
743.418,872.0915,257.07916
770.952,872.09155,258.4845
798.486,872.09155,259.9226
826.02,872.09155,261.3947
853.554,872.0915,262.89685
881.088,872.0915,264.437
908.622,872.0915,266.00647
936.156,872.0915,267.61407
963.69,872.09143,269.2531
991.224,872.09143,270.93396
1018.758,872.09143,272.64648
1046.292,872.09143,274.39673
1073.826,872.0914,276.1864
1101.36,872.0914,278.01593
1128.894,872.0913,279.8841
1156.428,872.0913,281.79425
1183.962,872.09125,283.74207
1211.496,872.09125,285.72852
1239.03,872.0912,287.76477
1266.564,872.0912,289.8442
1294.098,872.0911,291.96225
1321.632,872.09106,294.12665
1349.166,872.09106,296.33527
1376.7,872.091,298.58945
1404.234,872.09094,300.8905
1431.768,872.0909,303.2412
1459.302,872.0908,305.64078
1486.836,872.09076,308.08273
1514.37,872.0907,310.5806
1541.904,872.09064,313.1287
1569.438,872.09064,315.72177
1596.972,872.0905,318.3714
1624.506,872.0905,321.07538
1652.04,872.0904,323.82797
1679.574,872.09033,326.6326
1707.108,872.0903,329.49573
1734.642,872.0902,332.4163
1762.176,872.0901,335.38113
1789.71,872.09,338.41217
1817.244,872.08997,341.50122
1844.778,872.0899,344.64206
1872.312,872.08984,347.83725
1899.846,872.0897,351.1048
1927.38,872.0896,354.4171
1954.914,872.08954,357.79175
1982.448,872.0895,361.23508
2009.982,872.08936,364.7325
2037.516,872.08923,368.28067
2065.05,872.0892,371.90146
2092.584,872.0891,375.57144
2120.118,872.089,379.3112
2147.652,872.08887,383.10355
2175.186,872.08875,386.96906
2202.72,872.0887,390.88324
2230.254,872.08856,394.86066
2257.788,872.08844,398.9002
2285.322,872.0883,402.99667
2312.856,872.0882,407.1535
2340.39,872.08813,411.37592
2367.924,872.088,415.6405
2395.458,872.0879,419.96902
2422.992,872.0877,424.35083
2450.526,872.0876,428.79797
2478.06,872.08746,433.28613
2505.594,872.08734,437.82944
2533.128,872.0872,442.4258
2560.662,872.0871,447.06253
2588.196,872.0869,451.75214
2615.73,872.0868,456.48755
2643.264,872.0867,461.2613
2670.798,872.08655,466.06528
2698.332,872.08636,470.908
2725.866,872.0862,475.7709
2753.4,872.08606,480.6653
2780.934,872.08594,485.59073
2808.468,872.08575,490.52173
2836.002,872.08563,495.47348
2863.536,872.08545,500.4223
2891.07,872.08527,505.38885
2918.604,872.08514,510.33948
2946.138,872.08496,515.29565
2973.672,872.08484,520.2262
3001.206,872.08466,525.1395
3028.74,872.0845,530.02686
3056.274,872.0843,534.8944
3083.808,872.0841,539.7167
3111.342,872.0839,544.4999
3138.876,872.08374,549.2438
3166.41,872.0836,553.93933
3193.944,872.0834,558.58496
3221.478,872.0832,563.16974
3249.012,872.083,567.69934
3276.546,872.0828,572.16064
3304.08,872.08264,576.5513
3331.614,872.08246,580.8867
3359.148,872.0823,585.14386
3386.682,872.08203,589.33356
3414.216,872.08185,593.4651
3441.75,872.08167,597.501
3469.284,872.0814,601.4653
3496.818,872.08124,605.3536
3524.352,872.08105,609.1834
3551.886,872.0808,612.9297
3579.42,872.08057,616.60205
3606.954,872.0804,620.20557
3634.488,872.08014,623.7383
3662.022,872.07996,627.2042
3689.556,872.0797,630.5984
3717.09,872.07947,633.9275
3744.624,872.0792,637.1815
3772.158,872.07904,640.38214
3799.692,872.0788,643.5106
3827.226,872.07855,646.5834
3854.76,872.0783,649.6002
3882.294,872.07806,652.5605
3909.828,872.0779,655.4553
3937.362,872.07764,658.3047
3964.896,872.07733,661.1002
3992.43,872.07715,663.8431
4019.964,872.07684,666.5379
4047.498,872.0766,669.1811
4075.032,872.07635,671.7787
4102.566,872.0761,674.33563
4130.1,872.07587,676.8514
4157.634,872.07556,679.3235
4185.168,872.0753,681.7533
4212.702,872.0751,684.1467
4240.236,872.07477,686.4978
4267.77,872.07446,688.81165
4295.304,872.0742,691.09296
4322.838,872.0739,693.34033
4350.372,872.07367,695.55115
4377.906,872.07336,697.72925
4405.44,872.07306,699.8769
4432.974,872.0728,701.9918
4460.508,872.0725,704.074
4488.042,872.07227,706.1305
4515.576,872.07196,708.1566
4543.11,872.07166,710.1544
4570.644,872.07135,712.12134
4598.178,872.07104,714.06586
4625.712,872.07074,715.9866
4653.246,872.07043,717.87604
4680.78,872.0701,719.74036
4708.314,872.0698,721.57794
4735.848,872.0695,723.3934
4763.382,872.0692,725.1869
4790.916,872.0689,726.9548
4818.45,872.0686,728.70154
4845.984,872.06824,730.4249
4873.518,872.06793,732.1248
4901.052,872.0676,733.7998
4928.586,872.06726,735.4599
4956.12,872.06696,737.0948
4983.654,872.06665,738.7116
5011.188,872.0663,740.3051
5038.722,872.0659,741.8778
5066.256,872.0656,743.42773
5093.79,872.06525,744.96216
5121.324,872.06494,746.47644
5148.858,872.0646,747.96985
5176.392,872.0642,749.4446
5203.926,872.06384,750.8997
5231.46,872.06354,752.3411
5258.994,872.0632,753.75964
5286.528,872.0628,755.1575
5314.062,872.06244,756.5428
5341.596,872.0621,757.90826
5369.13,872.0617,759.25464
5396.664,872.06134,760.5881
5424.198,872.061,761.9021
5451.732,872.06055,763.1964
5479.266,872.06024,764.4773
5506.8,872.0598,765.7399
5534.334,872.05945,766.9872
5561.868,872.0591,768.22
5589.402,872.05865,769.43335
5616.936,872.05835,770.63464
5644.47,872.0579,771.81793
5672.004,872.0575,772.98834
5699.538,872.0571,774.1395
5727.072,872.05676,775.27747
5754.606,872.05634,776.4037
5782.14,872.0559,777.5126
5809.674,872.05554,778.6075
5837.208,872.0551,779.68805
5864.742,872.0547,780.7573
5892.276,872.05426,781.80804
5919.81,872.0539,782.84717
5947.344,872.05347,783.8736
5974.878,872.053,784.88666
6002.412,872.0526,785.8849
6029.946,872.0522,786.8724
6057.48,872.05176,787.84576
6085.014,872.05133,788.8047
6112.548,872.0509,789.7557
6140.082,872.0504,790.692
6167.616,872.05,791.6168
6195.15,872.04956,792.53
6222.684,872.04913,793.42896
6250.218,872.04865,794.31854
6277.752,872.0482,795.1963
6305.286,872.0478,796.0625
6332.82,872.0473,796.91644
6360.354,872.0469,797.76074
6387.888,872.0464,798.5945
6415.422,872.0459,799.416
6442.956,872.0455,800.2288
6470.49,872.04504,801.0292
6498.024,872.04456,801.8208
6525.558,872.04407,802.6043
6553.092,872.0436,803.37384
6580.626,872.0431,804.13605
6608.16,872.0426,804.88617
6635.694,872.0421,805.6296
6663.228,872.0416,806.36194
6690.762,872.04114,807.08673
